brickname,brickid,coverage_class_exact_indicator
0033m612,40790,required
0033m615,40100,required
0033m657,29207,required
0033m660,28617,required
0033m662,28033,required
0033m702,19482,required
0033m705,18998,required
0033m707,18520,required
0033m750,11303,required
0033m792,5832,required
0033m795,5566,required
0033m837,1983,required
0033m880,206,required
0034m397,119196,required
0034m400,118090,required
0034m402,116988,required
0034m407,114796,required
0034m410,113706,required
0034m415,111538,required
0034m460,92797,required
0034m462,91797,required
0034m467,89813,required
0034m470,88827,required
0034m472,87847,required
0034m515,71894,required
0034m517,71000,required
0034m520,70110,required
0034m522,69224,required
0034m525,68344,required
0034m527,67468,required
0034m567,54155,required
0034m570,53367,required
0034m572,52585,required
0034m575,51807,required
0034m577,51035,required
0034m617,39414,required
0034m620,38734,required
0034m622,38060,required
0034m665,27455,required
0034m667,26883,required
0034m670,26317,required
0034m755,10569,required
0034m797,5306,required
0035m417,110460,required
0035m420,109386,required
0035m422,108316,required
0035m425,107252,required
0035m427,106192,required
0035m430,105136,required
0035m432,104084,required
0035m475,86871,required
0035m477,85899,required
0035m480,84933,required
0035m485,83013,required
0035m487,82061,required
0035m530,66598,required
0035m532,65732,required
0035m535,64872,required
0035m537,64016,required
0035m580,50269,required
0035m582,49507,required
0035m585,48751,required
0035m625,37392,required
0035m630,36070,required
0035m632,35418,required
0035m672,25757,required
0035m675,25203,required
0035m757,10211,required
0035m760,9859,required
0035m800,5052,required
0035m840,1829,required
0036m435,103036,required
0036m437,101992,required
0036m440,100952,required
0036m442,99918,required
0036m445,98888,required
0036m447,97862,required
0036m450,96840,required
0036m490,81113,required
0036m492,80169,required
0036m495,79231,required
0036m497,78297,required
0036m500,77367,required
0036m540,63166,required
0036m542,62322,required
0036m545,61482,required
0036m547,60648,required
0036m550,59818,required
0036m587,48001,required
0036m590,47255,required
0036m592,46515,required
0036m595,45781,required
0036m635,34772,required
0036m637,34132,required
0036m677,24653,required
0036m680,24109,required
0036m682,23571,required
0036m725,15340,required
0036m762,9513,required
0036m802,4804,required
0036m842,1681,required
0037m395,120307,required
0037m397,119197,required
0037m400,118091,required
0037m402,116989,required
0037m405,115891,required
0037m407,114797,required
0037m410,113707,required
0037m452,95822,required
0037m455,94810,required
0037m457,93802,required
0037m460,92798,required
0037m462,91798,required
0037m502,76443,required
0037m507,74609,required
0037m510,73699,required
0037m512,72795,required
0037m552,58994,required
0037m555,58174,required
0037m557,57360,required
0037m600,44327,required
0037m605,42897,required
0037m645,32242,required
0037m647,31624,required
0037m685,23039,required
0037m687,22513,required
0037m727,14908,required
0037m765,9173,required
0037m767,8839,required
0037m805,4562,required
0037m882,158,required
0038m412,112621,required
0038m415,111539,required
0038m417,110461,required
0038m420,109387,required
0038m422,108317,required
0038m425,107253,required
0038m465,90804,required
0038m467,89814,required
0038m472,87848,required
0038m475,86872,required
0038m477,85900,required
0038m515,71895,required
0038m520,70111,required
0038m522,69225,required
0038m525,68345,required
0038m562,55748,required
0038m565,54950,required
0038m567,54156,required
0038m570,53368,required
0038m607,42189,required
0038m610,41487,required
0038m612,40791,required
0038m650,31012,required
0038m652,30406,required
0038m655,29804,required
0038m690,21993,required
0038m692,21479,required
0038m695,20971,required
0038m732,14062,required
0038m770,8511,required
0038m807,4326,required
0038m845,1539,required
0039m427,106193,required
0039m430,105137,required
0039m432,104085,required
0039m435,103037,required
0039m437,101993,required
0039m440,100953,required
0039m480,84934,required
0039m485,83014,required
0039m487,82062,required
0039m490,81114,required
0039m527,67469,required
0039m530,66599,required
0039m532,65733,required
0039m535,64873,required
0039m537,64017,required
0039m572,52586,required
0039m575,51808,required
0039m577,51036,required
0039m580,50270,required
0039m615,40101,required
0039m617,39415,required
0039m620,38735,required
0039m657,29208,required
0039m660,28618,required
0039m697,20469,required
0039m700,19973,required
0039m772,8189,required
